url,desc,title
http://archivo.lacapital.com.ar/2003/01/02/articulo_80.html,,Seis baleados en la primera noche del año
http://archivo.lacapital.com.ar/2003/01/03/articulo_104.html,,Detienen en Roldán a evadido de una comisaría de La Plata 
http://archivo.lacapital.com.ar/2003/01/09/articulo_90.html,,Una misma banda asaltó dos empresas en la zona sur 
http://archivo.lacapital.com.ar/2003/01/05/articulo_128.html,,Asesinaron a un carnicero que resistió un asalto 
http://archivo.lacapital.com.ar/2003/01/04/articulo_99.html,,Siembra más dudas el crimen del Country
http://archivo.lacapital.com.ar/2003/01/10/articulo_103.html,,"Comieron, bebieron, robaron y los atraparon cuando festejaban "
http://archivo.lacapital.com.ar/2003/01/06/articulo_67.html,,"Roban a una pareja, entran a un boliche y los atrapan "
http://archivo.lacapital.com.ar/2003/01/11/articulo_112.html,,Hallan a cuatro bebés muertos por sus padres
http://archivo.lacapital.com.ar/2003/01/07/articulo_100.html,,Se mató un joven al volcar cuando volvía de un boliche 
http://archivo.lacapital.com.ar/2003/01/08/articulo_109.html,,Buscan a dos adolescentes que se fueron de sus hogares 
http://archivo.lacapital.com.ar/2003/01/12/articulo_110.html,,Detienen a un sargento por cuatrerismo
http://archivo.lacapital.com.ar/2003/01/13/articulo_58.html,,"Se llevaron plata y buen vino de un negocio, pero cayeron "
http://archivo.lacapital.com.ar/2003/01/14/articulo_103.html,,Robó un auto y fue detenido tras un tiroteo 
http://archivo.lacapital.com.ar/2003/01/15/articulo_95.html,,Patota asesina a balazos a adolescente de 16 años 
http://archivo.lacapital.com.ar/2003/01/15/articulo_94.html,,Roban joyas por 5 mil dólares a una de las Trillizas de Oro 
http://archivo.lacapital.com.ar/2003/01/16/articulo_103.html,,Caen tras olvidar un celular en la casa de la víctima
http://archivo.lacapital.com.ar/2003/01/16/articulo_100.html,,"Estacionó el auto en barrio Martin, volvió y no lo halló "
http://archivo.lacapital.com.ar/2003/01/16/articulo_96.html,,Quiso huir de un hospital y murió en el intento
http://archivo.lacapital.com.ar/2003/01/17/articulo_78.html,,Una clínica bajo sospecha por la muerte de un paciente 
http://archivo.lacapital.com.ar/2003/01/17/articulo_77.html,,Apresan a dos hombres con pedido de captura 
http://archivo.lacapital.com.ar/2003/01/17/articulo_80.html,,Se amotinan y toman un rehén en un instituto de menores
http://archivo.lacapital.com.ar/2003/01/16/articulo_115.html,,Buscaron en vano el arma del crimen en Pilar
http://archivo.lacapital.com.ar/2003/01/17/articulo_76.html,,Cruento tiroteo y dos heridos dentro de un banco
http://archivo.lacapital.com.ar/2003/01/18/articulo_84.html,,Acusado de matar a un periodista en una disco 
http://archivo.lacapital.com.ar/2003/01/18/articulo_83.html,,Detienen a un menor acusado por un homicidio 
http://archivo.lacapital.com.ar/2003/01/18/articulo_81.html,,Relanzan las Juntas de Seguridad Comunitaria 
http://archivo.lacapital.com.ar/2003/01/18/articulo_92.html,,Un preso huyó de una seccional por un ventiluz
http://archivo.lacapital.com.ar/2003/01/18/articulo_93.html,,Dos deportistas muertos y dos heridos en un choque
http://archivo.lacapital.com.ar/2003/01/18/articulo_86.html,,Vecinos detienen a un ladrón armado tras un robo
http://archivo.lacapital.com.ar/2003/01/18/articulo_89.html,,Se recupera el chico baleado en una mudanza
http://archivo.lacapital.com.ar/2003/01/18/articulo_91.html,,Hubo cambio de mandos en la jefatura regional de Gendarmería
http://archivo.lacapital.com.ar/2003/01/18/articulo_85.html,,En febrero comenzará el juicio oral por un triple homicidio
http://archivo.lacapital.com.ar/2003/01/18/articulo_87.html,,El asesino de García Belsunce estaría entre los encubridores
http://archivo.lacapital.com.ar/2003/01/17/articulo_81.html,,Un custodio le pegó un tiro al asaltante de un proveedor de helados
http://archivo.lacapital.com.ar/2003/01/17/articulo_72.html,,Imputaron a familiares y amigos por encubrir el crimen de García Belsunce
http://archivo.lacapital.com.ar/2003/01/16/articulo_99.html,,Herido en un tiroteo tras un robo en la zona oeste 
http://archivo.lacapital.com.ar/2003/01/16/articulo_98.html,,Una chica de 15 años detenida por apuñalar a otra menor 
http://archivo.lacapital.com.ar/2003/01/16/articulo_97.html,,Descubren una defraudación de proveedores de cerveza 
http://archivo.lacapital.com.ar/2003/01/18/articulo_82.html,,Robaron con una trincheta y un revólver a cebita 
http://archivo.lacapital.com.ar/2003/01/16/articulo_117.html,,Un quiosquero fue gravemente herido por negarse a dar cambio
http://archivo.lacapital.com.ar/2003/01/17/articulo_75.html,,Robaron un camión cargado de soja a metros de una aceitera sanlorencina
http://archivo.lacapital.com.ar/2003/01/16/articulo_101.html,,Pedirán un veedor internacional por los detenidos en comisarías
http://archivo.lacapital.com.ar/2003/01/16/articulo_94.html,,El ex municipal asesinado por su hijo demente vivía con terror a un ataque
http://archivo.lacapital.com.ar/2003/01/15/articulo_93.html,,Policía atacado por un perro al detener al acusado de un robo 
http://archivo.lacapital.com.ar/2003/01/15/articulo_92.html,,Un ciruja removió y sacó 300 adoquines del empedrado 
http://archivo.lacapital.com.ar/2003/01/15/articulo_100.html,,Infructuosa búsqueda de un hombre de 33 años
http://archivo.lacapital.com.ar/2003/01/15/articulo_96.html,,Dos heridos de bala tras un tiroteo
http://archivo.lacapital.com.ar/2003/01/15/articulo_98.html,,"El ""bolseo"" de cereal, un negocio en cadena que moviliza fortunas en negro"
http://archivo.lacapital.com.ar/2003/01/15/articulo_97.html,,Recapturaron a dos presos que se habían fugado de comisarías
http://archivo.lacapital.com.ar/2003/01/15/articulo_90.html,,Un desequilibrado mutiló a su padre y lo asesinó con más de 50 puñaladas
http://archivo.lacapital.com.ar/2003/01/14/articulo_102.html,,Investigan incidente frente a una concesionaria de autos 
http://archivo.lacapital.com.ar/2003/01/14/articulo_101.html,,Falleció al incendiarse la casilla donde vivía 
http://archivo.lacapital.com.ar/2003/01/14/articulo_109.html,,Dudas ante una denuncia por robo en la zona norte
http://archivo.lacapital.com.ar/2003/01/14/articulo_95.html,,Simularon ser predicadores para robar
http://archivo.lacapital.com.ar/2003/01/14/articulo_97.html,,Jefe comunal niega injerencia en un homicidio
http://archivo.lacapital.com.ar/2003/01/14/articulo_96.html,,Pidieron que no se condene al autor de un brutal asesinato
http://archivo.lacapital.com.ar/2003/01/14/articulo_100.html,,Confusa muerte de ex suboficial de Prefectura
http://archivo.lacapital.com.ar/2003/01/14/articulo_108.html,,Los secuestradores de Zapata estarían entre sus allegados
http://archivo.lacapital.com.ar/2003/01/14/articulo_98.html,,En tres meses fueron denunciados seis casos de falsos secuestros por teléfono
http://archivo.lacapital.com.ar/2003/01/14/articulo_105.html,,Más de 900 postulantes a cien puestos en la policía
http://archivo.lacapital.com.ar/2003/01/14/articulo_104.html,,Piratas del asfalto roban una carga de 31 mil kilos de soja
http://archivo.lacapital.com.ar/2003/01/14/articulo_99.html,,Denuncian a patovicas de un boliche por brutal paliza a cuatro jóvenes
http://archivo.lacapital.com.ar/2003/01/13/articulo_59.html,,Magro botín para un robo a mano armada en una heladería 
http://archivo.lacapital.com.ar/2003/01/13/articulo_57.html,,Balean a una mujer al disparar al aire tras un robo 
http://archivo.lacapital.com.ar/2003/01/13/articulo_61.html,,Se esfuman 400 mil Lecop de una agencia bancaria
http://archivo.lacapital.com.ar/2003/01/13/articulo_55.html,,Asesinaron a un obrero molinero en un asalto
http://archivo.lacapital.com.ar/2003/01/13/articulo_60.html,,Los más imaginativos e insólitos métodos hacia la ansiada libertad
http://archivo.lacapital.com.ar/2003/01/13/articulo_54.html,,Dos médicos condenados por aborto y absueltos por una demora judicial
http://archivo.lacapital.com.ar/2003/01/12/articulo_111.html,,Un chico de 8 años murió al tocar un ventilador 
http://archivo.lacapital.com.ar/2003/01/12/articulo_107.html,,Detienen al presunto homicida de un policía
http://archivo.lacapital.com.ar/2003/01/12/articulo_109.html,,Desplazaron a los jefes de la comisaría 25ª
http://archivo.lacapital.com.ar/2003/01/12/articulo_112.html,,Robo frustrado en una casa de familia
http://archivo.lacapital.com.ar/2003/01/12/articulo_98.html,,Dos hermanos que compraron el cielo
http://archivo.lacapital.com.ar/2003/01/12/articulo_113.html,,Insólita detención policial de un reportero gráfico de La Capital
http://archivo.lacapital.com.ar/2003/01/12/articulo_96.html,,Cinco presos se evadieron de una comisaría en el horario de visitas
http://archivo.lacapital.com.ar/2003/01/08/articulo_108.html,,Tres hombres heridos al resistir robo en desarmadero 
http://archivo.lacapital.com.ar/2003/01/08/articulo_110.html,,Balearon al hijo de un ex ministro del Interior 
http://archivo.lacapital.com.ar/2003/01/08/articulo_103.html,,Menores sorprendidos cuando saqueaban una casa 
http://archivo.lacapital.com.ar/2003/01/08/articulo_112.html,,Desvinculan a 25 policías por dos de los homicidios en los saqueos
http://archivo.lacapital.com.ar/2003/01/08/articulo_101.html,,Desvalijan la casa de un juez y se llevan armas
http://archivo.lacapital.com.ar/2003/01/08/articulo_100.html,,"Robo, toma de rehenes y muerte tras el espectacular golpe de una banda"
http://archivo.lacapital.com.ar/2003/01/08/articulo_96.html,,"Un taxista murió cuando conducía y, sin control, el auto arrolló a dos mujeres"
http://archivo.lacapital.com.ar/2003/01/08/articulo_98.html,,La fuga que rompió todos los récords
http://archivo.lacapital.com.ar/2003/01/07/articulo_99.html,,Retirado de la Federal mató a un joven tras un robo 
http://archivo.lacapital.com.ar/2003/01/07/articulo_97.html,,Agente de la Ansés detenido por maniobra fraudulenta 
http://archivo.lacapital.com.ar/2003/01/07/articulo_98.html,,Un muerto y un herido al pelear dos bandas de hermanos 
http://archivo.lacapital.com.ar/2003/01/07/articulo_108.html,,Lo matan de un tiro y le roban 12 mil dólares
http://archivo.lacapital.com.ar/2003/01/07/articulo_115.html,,Tres presos se fugaron de una seccional santafesina
http://archivo.lacapital.com.ar/2003/01/07/articulo_114.html,,Copan una casa y se llevan de rehén a una joven
http://archivo.lacapital.com.ar/2003/01/07/articulo_116.html,,Fue a visitar a su hermano y lo apresaron por un crimen
http://archivo.lacapital.com.ar/2003/01/07/articulo_102.html,,Cercado y apuñalado en el colectivo
http://archivo.lacapital.com.ar/2003/01/07/articulo_113.html,,Emboscaron a puestero de un mercado y le robaron $ 20 mil
http://archivo.lacapital.com.ar/2003/01/07/articulo_107.html,,Apresan y llevan a juicio al descuartizador de dos mujeres
http://archivo.lacapital.com.ar/2003/01/07/articulo_101.html,,Ordenan extraer sangre para un ADN a un acusado de violación
http://archivo.lacapital.com.ar/2003/01/07/articulo_103.html,,Salvaje asesinato a puñaladas de un policía en la zona roja sanlorencina
http://archivo.lacapital.com.ar/2003/01/11/articulo_103.html,,Le robaron 25 mil dólares a un jubilado platense 
http://archivo.lacapital.com.ar/2003/01/11/articulo_102.html,,Matan a un gitano de un balazo en un barrio porteño
http://archivo.lacapital.com.ar/2003/01/11/articulo_105.html,,Un colono pasó tres días maniatado tras un robo
http://archivo.lacapital.com.ar/2003/01/11/articulo_101.html,,Encapuchados aterrorizan a un matrimonio en Alvear 
http://archivo.lacapital.com.ar/2003/01/11/articulo_95.html,,Una chica de 18 años baleada tras el robo a un taxista 
http://archivo.lacapital.com.ar/2003/01/11/articulo_108.html,,Roban un auto y atan al sereno en un garaje céntrico
http://archivo.lacapital.com.ar/2003/01/11/articulo_110.html,,Condenan a un policía que atropelló a un ciclista con un patrullero 
http://archivo.lacapital.com.ar/2003/01/11/articulo_106.html,,Mejora el nene baleado durante una mudanza
